frame,track_id,x_pixel,y_pixel,x_pitch,y_pitch,x_pitch_smooth,y_pitch_smooth,is_in_pitch,confidence
211,1,926.38,539.91,80.16,54.82,80.52,54.77,True,0.7953
211,2,330.76,337.44,19.73,29.69,80.74,54.78,True,0.7637
211,3,594.46,432.81,47.89,42.11,80.94,54.8,True,0.801
211,4,1158.82,361.64,106.85,32.94,81.31,54.81,False,0.8147
211,5,479.78,423.15,36.19,40.9,81.7,54.83,True,0.791
211,6,653.0,392.69,53.84,37.02,82.1,54.81,True,0.7836
211,7,741.66,356.45,63.18,32.25,82.48,54.76,True,0.7961
211,8,960.94,336.96,86.52,29.62,82.87,54.67,True,0.7659
211,9,912.46,301.24,81.89,24.67,83.28,54.57,True,0.7407
211,10,541.71,347.46,42.13,31.04,83.69,54.47,True,0.7919
211,11,162.98,448.79,4.51,44.08,84.09,54.4,True,0.7599
211,12,573.13,358.53,45.48,32.53,84.5,54.36,True,0.7448
211,13,499.87,263.11,37.1,19.19,84.95,54.35,True,0.7408
211,14,748.38,222.3,64.66,13.08,85.43,54.4,True,0.7345
211,15,367.92,291.79,23.02,23.33,85.89,54.46,True,0.7743
211,16,507.57,214.45,37.58,11.88,86.36,54.5,True,0.7153
211,17,460.82,308.77,33.24,25.73,86.85,54.53,True,0.6898
211,18,440.69,242.75,30.37,16.17,87.33,54.56,True,0.719
211,19,16.02,587.81,-6.53,60.13,87.79,54.53,False,0.6725
211,20,593.99,284.32,47.5,22.26,88.26,54.51,True,0.6802
211,21,627.23,256.11,51.09,18.16,88.7,54.51,True,0.6883
211,22,532.81,190.67,40.28,8.18,89.09,54.53,True,0.6908
212,1,929.6,539.1,80.48,54.73,89.4,54.53,True,0.7991
212,2,333.62,337.87,20.04,29.74,89.65,54.54,True,0.726
212,3,594.52,432.03,47.89,42.01,89.84,54.58,True,0.8017
212,4,1160.82,360.63,107.09,32.81,89.99,54.62,False,0.8175
212,5,479.19,421.46,36.12,40.69,90.12,54.67,True,0.7706
212,6,655.43,392.4,54.09,36.98,90.24,54.7,True,0.7831
212,7,744.39,357.12,63.46,32.34,90.34,54.72,True,0.8098
212,8,961.6,336.2,86.6,29.52,90.41,54.75,True,0.7743
212,9,911.45,300.72,81.79,24.59,90.48,54.8,True,0.7823
212,10,543.06,345.48,42.27,30.78,90.56,54.86,True,0.7948
212,11,164.54,449.06,4.68,44.12,90.69,54.96,True,0.745
212,12,576.68,359.09,45.86,32.6,90.88,55.07,True,0.7436
212,13,501.26,263.27,37.25,19.21,91.15,55.16,True,0.7488
212,14,751.45,221.88,65.01,13.02,91.47,55.2,True,0.737
212,15,370.16,292.26,23.27,23.39,91.81,55.25,True,0.758
212,16,510.54,214.03,37.91,11.81,92.16,55.27,True,0.6506
212,17,466.36,308.85,33.84,25.74,92.48,55.28,True,0.7216
212,18,442.5,242.96,30.57,16.2,92.78,55.28,True,0.6903
212,19,16.64,587.35,-6.48,60.08,93.07,55.29,False,0.6241
212,20,595.44,284.35,47.65,22.26,93.37,55.3,True,0.7359
212,21,628.68,255.29,51.25,18.04,93.68,55.32,True,0.7232
212,22,534.76,190.41,40.5,8.13,94.06,55.34,True,0.7035
213,1,934.1,539.39,80.91,54.76,94.5,55.36,True,0.8018
