frame,track_id,x_pixel,y_pixel,x_pitch,y_pitch,x_pitch_smooth,y_pitch_smooth,is_in_pitch,confidence
1,1,1016.48,829.97,56.12,56.33,56.12,56.34,True,0.75
1,2,512.6,835.63,23.91,56.75,23.92,56.74,True,0.7348
1,3,577.65,805.41,27.85,54.48,27.84,54.46,True,0.7341
1,4,921.01,529.0,49.77,31.74,49.8,31.69,True,0.7326
1,5,1304.78,727.24,75.25,48.43,75.31,48.48,True,0.7304
1,6,858.04,746.92,45.81,49.98,45.79,50.0,True,0.7261
1,7,338.69,788.3,12.24,53.18,12.23,53.14,True,0.7243
1,8,933.61,699.47,50.74,46.22,50.71,46.22,True,0.7097
1,9,1019.16,703.12,56.43,46.51,56.44,46.52,True,0.7018
1,10,1244.62,590.79,72.08,37.17,72.12,37.19,True,0.6763
1,11,1445.35,650.06,85.28,42.18,85.34,42.16,True,0.6589
1,12,537.66,725.35,24.62,48.28,24.69,48.24,True,0.6462
1,13,736.66,354.22,35.91,15.18,35.91,15.18,True,0.6201
1,14,928.88,648.07,50.4,42.01,50.42,42.03,True,0.5967
1,15,577.34,714.03,27.15,47.38,27.17,47.37,True,0.5854
1,16,724.38,630.68,36.49,40.56,36.5,40.58,True,0.557
1,17,903.72,653.0,48.7,42.42,48.71,42.45,True,0.5169
1,18,523.28,612.6,22.66,39.03,22.66,39.03,True,0.5016
1,19,1125.83,506.76,64.21,29.74,64.29,29.7,True,0.4894
1,20,739.1,514.7,36.93,30.46,36.92,30.45,True,0.4696
2,1,1016.51,829.97,56.12,56.33,56.09,56.36,True,0.7493
2,2,512.62,835.62,23.91,56.75,23.91,56.68,True,0.7352
2,3,577.64,805.41,27.85,54.48,27.79,54.45,True,0.7341
2,4,921.0,529.02,49.76,31.75,49.83,31.67,True,0.7325
2,5,1304.81,727.27,75.25,48.44,75.36,48.56,True,0.7309
2,6,858.06,746.91,45.81,49.98,45.77,50.02,True,0.7271
2,7,338.7,788.32,12.24,53.18,12.22,53.1,True,0.7236
2,8,933.61,699.49,50.74,46.22,50.65,46.24,True,0.7095
2,9,1019.02,703.1,56.42,46.51,56.43,46.54,True,0.701
2,10,1244.62,590.84,72.08,37.17,72.2,37.2,True,0.6755
2,11,1445.36,650.01,85.28,42.17,85.37,42.17,True,0.6599
2,12,537.64,725.36,24.62,48.29,24.76,48.2,True,0.6457
2,13,736.64,354.25,35.91,15.18,35.91,15.18,True,0.6269
2,14,928.89,648.09,50.4,42.01,50.41,42.06,True,0.6014
2,15,577.34,714.05,27.15,47.39,27.18,47.3,True,0.584
2,16,724.38,630.7,36.49,40.56,36.5,40.6,True,0.5496
2,17,903.72,653.01,48.7,42.42,48.72,42.47,True,0.5229
2,18,523.24,612.62,22.66,39.03,22.66,39.03,True,0.5009
2,19,1125.84,506.76,64.22,29.74,64.38,29.68,True,0.487
2,20,739.1,514.67,36.93,30.46,36.92,30.45,True,0.4709
3,1,1016.42,830.56,56.11,56.37,56.06,56.37,True,0.7323
3,2,512.94,835.35,23.93,56.73,23.9,56.62,True,0.7383
3,3,577.07,804.77,27.81,54.43,27.74,54.46,True,0.7469
3,4,922.69,527.05,49.88,31.57,49.84,31.66,True,0.7392
3,5,1307.61,728.82,75.42,48.56,75.42,48.64,True,0.764
3,6,856.88,747.45,45.74,50.03,45.72,50.05,True,0.7297
3,7,338.62,786.73,12.22,53.06,12.2,53.07,True,0.6381
3,8,932.03,699.64,50.64,46.23,50.59,46.26,True,0.6848
3,9,1019.65,703.5,56.46,46.54,56.4,46.57,True,0.7437
3,10,1246.33,591.39,72.19,37.22,72.28,37.21,True,0.5283
3,12,540.84,723.78,24.82,48.16,24.84,48.12,True,0.6547
3,14,929.88,648.93,50.46,42.08,50.4,42.1,True,0.5754
3,15,578.5,713.5,27.22,47.34,27.17,47.2,True,0.6221
3,16,724.88,631.56,36.53,40.63,36.47,40.62,True,0.4765
3,17,904.06,654.21,48.73,42.52,48.73,42.49,True,0.5268
3,19,1128.82,505.55,64.43,29.63,64.47,29.68,True,0.4996
3,20,738.78,514.45,36.91,30.44,36.9,30.45,True,0.5193
4,1,1015.04,830.91,56.02,56.4,56.01,56.4,True,0.6986
4,2,512.72,832.41,23.89,56.51,23.88,56.52,True,0.7485
4,3,574.79,804.49,27.66,54.41,27.66,54.47,True,0.739
