frame,track_id,x_pixel,y_pixel,x_pitch,y_pitch,x_pitch_smooth,y_pitch_smooth,is_in_pitch,confidence
1,1,728.68,427.77,61.51,41.48,61.3,41.26,True,0.8247
1,2,735.63,527.9,61.78,53.45,61.22,41.14,True,0.8146
1,3,1042.92,473.34,92.58,47.06,61.12,41.07,True,0.8123
1,4,158.46,583.56,6.86,59.66,60.93,40.94,True,0.8094
1,5,398.3,454.51,28.25,44.78,60.74,40.82,True,0.8026
1,6,1218.94,335.12,113.93,29.37,60.58,40.78,False,0.7999
1,7,449.29,295.58,31.87,23.87,60.41,40.75,True,0.79
1,8,448.68,382.78,32.66,35.73,60.26,40.71,True,0.7801
1,9,896.99,315.8,80.02,26.71,60.14,40.64,True,0.7646
1,10,827.24,284.57,72.86,22.3,60.03,40.57,True,0.7638
1,11,645.14,284.18,53.06,22.24,59.95,40.52,True,0.7365
1,12,916.22,271.87,82.73,20.46,59.88,40.45,True,0.7161
1,13,1251.11,335.48,117.33,29.42,59.8,40.36,False,0.6996
1,14,196.74,270.4,3.96,20.25,59.75,40.29,True,0.6037
2,1,726.86,426.87,61.33,41.37,59.7,40.23,True,0.8184
2,2,734.76,527.98,61.7,53.46,59.64,40.17,True,0.8219
2,3,1042.84,473.18,92.58,47.04,59.6,40.12,True,0.8155
2,4,157.36,583.2,6.75,59.63,59.54,40.09,True,0.8013
2,5,397.24,454.15,28.14,44.74,59.48,40.06,True,0.7979
2,6,1215.57,333.42,113.62,29.14,59.43,40.0,False,0.7769
2,7,447.33,297.7,31.68,24.17,59.38,39.95,True,0.8015
2,8,446.46,382.86,32.43,35.74,59.32,39.91,True,0.78
2,9,894.38,315.88,79.74,26.72,59.28,39.88,True,0.7656
2,10,825.66,284.17,72.69,22.24,59.24,39.86,True,0.773
2,11,642.27,285.3,52.75,22.4,59.17,39.86,True,0.7149
2,12,913.49,271.95,82.43,20.47,59.09,39.86,True,0.6989
2,13,1248.67,334.77,117.09,29.32,58.99,39.85,False,0.7316
2,14,194.12,270.44,3.67,20.26,58.84,39.83,True,0.5945
3,1,724.18,423.38,61.07,40.93,58.69,39.82,True,0.8271
3,2,732.67,527.27,61.5,53.38,58.52,39.78,True,0.824
3,3,1041.8,472.72,92.48,46.99,58.33,39.73,True,0.8166
3,4,157.14,582.52,6.72,59.55,58.15,39.68,True,0.7859
3,5,395.56,453.41,27.96,44.65,57.97,39.65,True,0.8019
3,6,1212.22,332.64,113.29,29.03,57.77,39.57,False,0.7502
3,7,445.26,296.99,31.45,24.07,57.58,39.52,True,0.7883
3,8,444.41,382.61,32.21,35.71,57.4,39.46,True,0.7577
3,9,891.3,315.43,79.42,26.66,57.2,39.4,True,0.7639
3,10,823.02,283.74,72.41,22.18,57.03,39.32,True,0.7736
3,11,637.73,285.03,52.25,22.36,56.85,39.26,True,0.7582
3,12,909.71,271.0,82.03,20.34,56.66,39.2,True,0.7383
3,13,1245.15,334.5,116.73,29.28,56.49,39.13,False,0.7344
3,14,191.12,269.85,3.33,20.17,56.32,39.09,True,0.611
4,1,723.0,422.19,60.95,40.78,56.15,39.03,True,0.8351
4,2,731.81,527.12,61.42,53.36,56.02,38.97,True,0.8255
4,3,1041.47,472.51,92.45,46.96,55.89,38.93,True,0.8211
4,4,157.95,582.69,6.8,59.57,55.75,38.9,True,0.7878
4,5,394.94,453.21,27.9,44.62,55.64,38.87,True,0.7999
4,6,1210.73,332.45,113.13,29.0,55.53,38.87,False,0.7442
4,7,444.0,296.25,31.31,23.96,55.41,38.87,True,0.784
4,8,443.17,382.64,32.08,35.71,55.3,38.85,True,0.7726
4,9,890.0,314.97,79.29,26.59,55.2,38.8,True,0.7766
4,10,822.08,283.63,72.31,22.16,55.09,38.74,True,0.774
4,11,634.66,285.1,51.92,22.37,55.0,38.68,True,0.7291
4,12,907.64,271.21,81.8,20.37,54.92,38.62,True,0.721
4,13,1242.78,334.57,116.47,29.29,54.85,38.56,False,0.7493
4,14,190.0,269.66,3.2,20.14,54.8,38.52,True,0.626
5,1,721.15,422.34,60.76,40.8,54.74,38.49,True,0.8362
5,2,730.08,526.97,61.25,53.35,54.67,38.47,True,0.8194
5,3,1039.38,472.24,92.25,46.93,54.58,38.44,True,0.8089
5,4,157.76,582.28,6.77,59.53,54.5,38.41,True,0.7877
5,5,393.74,452.43,27.77,44.53,54.38,38.37,True,0.7941
5,6,1206.85,331.95,112.74,28.94,54.26,38.32,False,0.7645
5,7,441.78,295.04,31.05,23.79,54.16,38.26,True,0.8077
5,8,440.46,383.08,31.81,35.77,54.06,38.21,True,0.8079
5,9,887.46,314.5,79.02,26.53,53.96,38.12,True,0.795
5,10,820.53,283.78,72.14,22.18,53.89,38.05,True,0.7304
5,11,629.56,284.22,51.36,22.25,53.83,37.97,True,0.6856
5,12,904.97,271.36,81.5,20.39,53.77,37.9,True,0.7273
5,13,1239.99,334.57,116.18,29.29,53.74,37.82,False,0.7142
5,14,188.39,269.86,3.03,20.17,53.7,37.8,True,0.5681
6,1,718.81,422.41,60.52,40.81,53.66,37.78,True,0.8291
6,2,728.68,527.11,61.11,53.36,53.64,37.76,True,0.8286
6,3,1038.41,472.12,92.16,46.92,53.62,37.73,True,0.8217
6,4,157.62,582.9,6.77,59.59,53.58,37.69,True,0.7882
6,5,392.68,452.9,27.67,44.59,53.55,37.65,True,0.7969
6,6,1203.86,331.79,112.42,28.91,53.54,37.59,False,0.7807
6,7,440.42,294.58,30.9,23.72,53.54,37.56,True,0.8065
6,8,438.42,383.36,31.6,35.81,53.55,37.53,True,0.8032
6,9,885.96,314.46,78.86,26.52,53.59,37.51,True,0.7927
6,10,820.18,283.68,72.1,22.17,53.67,37.47,True,0.7477
6,11,624.94,283.72,50.86,22.17,53.79,37.44,True,0.692
6,12,902.94,271.38,81.28,20.39,53.92,37.39,True,0.7086
6,13,1237.7,334.59,115.93,29.3,54.08,37.32,False,0.7635
6,14,187.33,269.67,2.91,20.14,54.26,37.26,True,0.6498
7,1,717.78,422.37,60.42,40.8,54.41,37.22,True,0.8299
7,2,728.24,526.93,61.07,53.34,54.54,37.18,True,0.8363
7,3,1038.48,472.13,92.16,46.92,54.64,37.15,True,0.8225
7,4,158.06,583.38,6.82,59.64,54.73,37.11,True,0.7888
7,5,392.79,452.16,27.67,44.5,54.79,37.04,True,0.7986
7,6,1202.69,331.72,112.3,28.9,54.85,36.95,False,0.7786
7,7,439.57,293.34,30.8,23.55,54.91,36.87,True,0.8137
