frame,track_id,x_pixel,y_pixel,x_pitch,y_pitch,x_pitch_smooth,y_pitch_smooth,is_in_pitch,confidence
1,1,1413.06,659.14,83.02,42.93,83.33,42.73,True,0.8542
1,2,1089.85,868.21,60.72,59.15,60.98,59.05,True,0.851
1,3,1311.07,847.45,74.86,57.62,75.33,57.5,True,0.8384
1,4,1315.26,506.38,77.6,29.71,78.0,29.67,True,0.834
1,5,1117.57,525.42,63.56,31.42,64.09,31.45,True,0.831
1,6,1622.61,447.71,100.21,24.28,100.45,24.28,True,0.8195
1,7,1290.36,357.49,77.01,15.51,77.27,15.48,True,0.8027
1,8,1664.42,490.18,102.53,28.23,102.77,28.22,True,0.8026
1,9,1507.32,653.75,89.42,42.48,89.74,42.42,True,0.7986
1,10,347.24,631.71,10.88,40.65,11.23,40.58,True,0.792
1,11,194.18,522.0,-1.34,31.12,-0.81,31.04,False,0.7905
1,12,65.69,833.25,-4.69,56.57,-4.07,56.78,False,0.7896
1,13,991.06,307.3,54.84,10.4,55.16,10.36,True,0.7686
1,14,715.88,761.52,36.56,51.12,37.18,50.99,True,0.7675
1,15,599.67,387.97,26.04,18.53,26.25,18.49,True,0.7357
1,16,694.18,841.02,35.54,57.15,35.29,57.11,True,0.7344
1,17,130.02,432.47,-7.56,22.83,-7.31,22.8,False,0.7244
1,18,279.3,265.31,0.38,5.98,0.62,6.09,True,0.6701
1,19,1137.42,444.82,65.29,24.0,66.06,24.01,True,0.6086
1,20,1130.24,446.87,64.76,24.2,65.64,24.05,True,0.53
2,1,1417.01,657.3,83.3,42.78,83.5,42.61,True,0.8557
2,2,1094.14,866.73,61.0,59.04,61.11,59.01,True,0.8428
2,3,1318.6,845.2,75.35,57.46,75.56,57.47,True,0.8592
2,4,1320.94,505.93,78.0,29.67,78.18,29.65,True,0.8323
2,5,1125.72,525.59,64.14,31.44,64.32,31.44,True,0.8038
2,6,1625.98,448.03,100.45,24.31,100.56,24.28,True,0.8118
2,7,1293.82,356.91,77.27,15.45,77.38,15.48,True,0.8017
2,8,1667.74,489.98,102.77,28.21,102.89,28.22,True,0.7995
2,9,1512.2,652.88,89.76,42.41,89.9,42.39,True,0.8157
2,10,351.89,630.83,11.18,40.57,11.41,40.54,True,0.776
2,11,201.31,520.82,-0.86,31.01,-0.53,31.0,False,0.7925
2,12,73.6,836.78,-4.13,56.83,-3.73,56.84,False,0.7889
2,13,995.12,306.69,55.15,10.33,55.31,10.36,True,0.7773
2,14,725.8,759.57,37.2,50.97,37.49,50.96,True,0.7695
2,15,601.99,387.75,26.21,18.51,26.37,18.46,True,0.7287
2,16,690.66,840.39,35.31,57.1,35.15,57.1,True,0.7227
2,17,133.34,431.81,-7.33,22.77,-7.14,22.8,False,0.7519
2,18,282.24,267.27,0.64,6.19,0.77,6.11,True,0.7094
2,19,1140.42,447.78,65.49,24.28,66.44,23.88,True,0.6591
2,20,1146.22,443.88,65.93,23.91,65.91,24.04,True,0.6328
3,1,1422.21,653.82,83.68,42.49,83.67,42.53,True,0.8453
3,2,1097.69,865.65,61.22,58.96,61.24,58.98,True,0.8424
3,3,1325.07,844.89,75.77,57.43,75.82,57.43,True,0.8586
3,4,1326.42,505.5,78.4,29.63,78.33,29.66,True,0.8364
3,5,1131.71,526.0,64.56,31.48,64.53,31.43,True,0.7961
3,6,1629.2,447.56,100.69,24.26,100.68,24.26,True,0.8131
3,7,1297.18,357.29,77.52,15.49,77.5,15.48,True,0.7932
3,8,1671.3,490.1,103.02,28.22,103.01,28.21,True,0.7998
3,9,1515.99,652.32,90.03,42.37,90.06,42.37,True,0.8261
3,10,358.62,630.32,11.64,40.53,11.6,40.52,True,0.7633
3,11,210.28,520.58,-0.23,30.99,-0.25,30.99,False,0.784
3,12,84.64,838.04,-3.4,56.93,-3.37,56.91,False,0.8213
3,13,999.6,306.82,55.49,10.35,55.46,10.37,True,0.7512
3,14,734.78,758.58,37.78,50.89,37.78,50.92,True,0.7942
3,15,606.02,387.03,26.5,18.44,26.5,18.45,True,0.7052
3,16,686.14,840.11,35.02,57.08,34.99,57.1,True,0.6885
3,17,137.32,432.19,-7.04,22.81,-6.96,22.8,False,0.7729
3,18,285.11,266.38,0.84,6.1,0.93,6.11,True,0.7112
3,20,1150.44,445.15,66.22,24.03,66.16,24.05,True,0.761
4,1,1426.52,650.83,84.0,42.24,83.98,42.38,True,0.8557
4,2,1101.82,864.61,61.49,58.88,61.48,58.9,True,0.8741
4,3,1332.83,844.09,76.27,57.38,76.33,57.33,True,0.8463
4,4,1331.08,505.09,78.73,29.59,78.64,29.65,True,0.8492
4,5,1138.56,525.37,65.04,31.42,64.91,31.43,True,0.8035
4,6,1632.27,447.39,100.91,24.25,100.91,24.25,True,0.8145
4,7,1300.05,357.19,77.73,15.48,77.75,15.48,True,0.7999
4,8,1674.41,490.37,103.23,28.24,103.23,28.2,True,0.7895
4,9,1521.34,651.67,90.39,42.31,90.36,42.3,True,0.8422
4,10,363.36,629.11,11.94,40.43,11.97,40.48,True,0.7492
4,11,218.11,519.58,0.31,30.9,0.29,30.95,True,0.771
4,12,95.16,839.18,-2.71,57.01,-2.67,57.06,False,0.8224
4,13,1003.32,307.11,55.77,10.38,55.75,10.37,True,0.7576
4,14,744.41,758.24,38.41,50.87,38.33,50.86,True,0.8043
4,15,609.36,386.38,26.74,18.37,26.73,18.44,True,0.7155
4,16,681.22,840.07,34.71,57.08,34.7,57.08,True,0.6795
4,17,143.0,432.28,-6.63,22.81,-6.62,22.77,False,0.7724
4,18,289.8,267.11,1.22,6.18,1.21,6.12,True,0.6625
4,20,1157.42,445.2,66.73,24.04,66.73,24.02,True,0.765
5,1,1431.28,650.49,84.33,42.21,84.3,42.25,True,0.8343
5,2,1105.88,864.2,61.75,58.85,61.71,58.84,True,0.8625
5,3,1341.54,842.42,76.84,57.25,76.87,57.24,True,0.8702
5,4,1333.85,506.3,78.91,29.7,78.92,29.66,True,0.8473
5,5,1142.79,524.84,65.34,31.37,65.3,31.44,True,0.7508
5,6,1635.33,447.14,101.14,24.22,101.13,24.23,True,0.8193
5,7,1303.54,357.24,77.99,15.48,78.0,15.49,True,0.8052
5,8,1677.76,489.45,103.49,28.16,103.45,28.19,True,0.8102
5,9,1525.65,651.22,90.69,42.27,90.65,42.22,True,0.8528
5,10,369.24,629.16,12.34,40.43,12.36,40.49,True,0.7272
5,11,225.99,519.88,0.86,30.93,0.84,30.93,True,0.7753
5,12,107.09,841.83,-1.91,57.21,-1.92,57.17,False,0.8236
5,13,1006.89,307.45,56.04,10.41,56.04,10.39,True,0.7424
5,14,752.77,756.83,38.95,50.76,38.82,50.85,True,0.8226
5,15,612.74,386.75,26.99,18.41,26.98,18.43,True,0.714
5,16,676.21,840.07,34.39,57.08,34.39,57.08,True,0.6811
5,17,148.62,431.68,-6.23,22.76,-6.28,22.77,False,0.7718
5,18,294.35,266.22,1.55,6.08,1.51,6.09,True,0.7181
5,20,1163.12,445.7,67.14,24.09,67.13,24.04,True,0.7844
6,1,1435.43,650.01,84.61,42.17,84.6,42.17,True,0.8368
6,2,1108.67,863.17,61.93,58.78,61.93,58.76,True,0.8623
6,3,1350.59,840.53,77.43,57.11,77.44,57.14,True,0.8634
6,4,1337.38,506.06,79.17,29.68,79.16,29.66,True,0.8394
6,5,1144.92,525.72,65.48,31.45,65.63,31.47,True,0.7345
6,6,1638.34,446.95,101.36,24.2,101.35,24.21,True,0.8115
6,7,1307.03,357.37,78.25,15.5,78.27,15.5,True,0.8043
6,8,1679.98,489.57,103.64,28.17,103.64,28.16,True,0.8146
6,9,1528.91,649.63,90.93,42.14,90.94,42.13,True,0.8539
6,10,374.96,629.52,12.74,40.46,12.72,40.49,True,0.7845
6,11,233.17,520.07,1.37,30.94,1.38,30.9,True,0.7742
6,12,117.64,843.58,-1.21,57.34,-1.15,57.26,False,0.8241
6,13,1010.62,307.35,56.32,10.4,56.29,10.39,True,0.7671
6,14,758.32,757.69,39.31,50.82,39.27,50.82,True,0.8184
6,15,615.82,387.37,27.22,18.47,27.21,18.43,True,0.7049
6,16,670.96,840.02,34.05,57.07,34.07,57.08,True,0.7054
6,17,153.4,431.26,-5.89,22.72,-5.95,22.76,False,0.744
6,18,298.03,265.8,1.82,6.04,1.82,6.08,True,0.7356
6,20,1169.73,445.14,67.61,24.03,67.61,24.03,True,0.7757
7,1,1439.38,649.46,84.88,42.13,84.9,42.13,True,0.8335
7,2,1112.33,862.34,62.16,58.72,62.14,58.66,True,0.8712
7,3,1359.79,839.28,78.02,57.02,78.01,57.03,True,0.8471
7,4,1340.77,506.08,79.4,29.68,79.39,29.66,True,0.8389
7,5,1153.74,526.3,66.1,31.5,65.93,31.52,True,0.751
7,6,1641.1,446.92,101.56,24.2,101.57,24.21,True,0.8168
7,7,1310.53,357.51,78.51,15.51,78.56,15.52,True,0.7938
7,8,1682.9,489.46,103.85,28.16,103.83,28.11,True,0.8093
7,9,1532.85,648.22,91.21,42.02,91.21,42.05,True,0.8631
7,10,380.5,630.88,13.13,40.58,13.07,40.54,True,0.7938
7,11,240.82,519.64,1.9,30.9,1.9,30.88,True,0.7857
7,12,130.9,843.92,-0.36,57.36,-0.36,57.33,False,0.794
7,13,1013.8,307.28,56.56,10.4,56.54,10.38,True,0.7679
7,14,763.04,758.86,39.63,50.91,39.68,50.77,True,0.8191
7,15,618.99,387.22,27.45,18.46,27.45,18.46,True,0.715
7,16,666.8,840.08,33.79,57.08,33.75,57.05,True,0.7057
7,17,157.03,431.53,-5.63,22.74,-5.63,22.79,False,0.7491
7,18,301.78,266.03,2.11,6.06,2.11,6.04,True,0.724
7,20,1174.64,444.76,67.97,24.0,68.06,24.03,True,0.7751
8,1,1443.52,648.99,85.17,42.09,85.19,42.11,True,0.8329
8,2,1114.93,860.16,62.33,58.56,62.35,58.53,True,0.8665
8,3,1369.1,837.92,78.63,56.92,78.56,56.94,True,0.8495
8,4,1343.41,505.52,79.6,29.63,79.64,29.65,True,0.8261
8,5,1154.74,527.58,66.17,31.62,66.2,31.58,True,0.7578
8,6,1644.08,446.95,101.77,24.2,101.8,24.2,True,0.8224
8,7,1315.32,357.92,78.86,15.55,78.89,15.54,True,0.7712
8,8,1684.98,488.57,104.01,28.08,104.02,28.07,True,0.8024
8,9,1536.61,646.74,91.48,41.9,91.48,41.98,True,0.8692
8,10,384.9,630.74,13.43,40.56,13.4,40.62,True,0.7866
8,11,248.88,519.03,2.46,30.85,2.4,30.86,True,0.8016
8,12,142.96,844.25,0.42,57.39,0.44,57.36,True,0.7587
8,13,1016.48,306.96,56.76,10.36,56.79,10.36,True,0.7791
8,14,769.27,756.93,40.03,50.76,40.08,50.69,True,0.8327
8,15,621.95,387.18,27.67,18.45,27.68,18.48,True,0.7309
8,16,661.29,840.07,33.43,57.08,33.44,57.04,True,0.6619
8,17,160.42,432.01,-5.37,22.79,-5.33,22.83,False,0.7438
8,18,305.64,265.87,2.41,6.04,2.4,6.03,True,0.731
8,19,1166.36,442.23,67.39,23.76,66.72,23.82,True,0.7536
8,20,1183.2,444.65,68.59,23.99,68.5,24.05,True,0.7869
9,1,1448.54,648.44,85.51,42.04,85.48,42.09,True,0.8408
9,2,1117.95,857.72,62.53,58.38,62.58,58.38,True,0.8563
9,3,1377.07,837.22,79.14,56.87,79.11,56.86,True,0.8419
9,4,1347.13,505.28,79.86,29.61,79.89,29.67,True,0.8259
