frame,track_id,class,confidence,x1,y1,x2,y2
211,1,0,0.7953,910.55,457.68,942.21,539.91
211,2,0,0.7637,317.01,281.18,344.5,337.44
211,3,0,0.801,577.39,365.43,611.54,432.81
211,4,0,0.8147,1143.52,296.81,1174.12,361.64
211,5,0,0.791,460.07,361.64,499.49,423.15
211,6,0,0.7836,639.53,328.87,666.48,392.69
211,7,0,0.7961,728.33,298.35,755.0,356.45
211,8,0,0.7659,945.42,285.89,976.45,336.96
211,9,0,0.7407,897.74,247.48,927.17,301.24
211,10,0,0.7919,530.12,289.01,553.3,347.46
211,11,0,0.7599,146.44,379.09,179.52,448.79
211,12,0,0.7448,561.84,302.27,584.42,358.53
211,13,0,0.7408,489.81,218.72,509.93,263.11
211,14,0,0.7345,738.8,180.83,757.96,222.3
211,15,0,0.7743,356.98,238.58,378.87,291.79
211,16,0,0.7153,499.46,171.25,515.68,214.45
211,17,0,0.6898,450.82,256.49,470.83,308.77
211,18,0,0.719,430.9,202.54,450.48,242.75
211,19,0,0.6725,0.8,502.1,31.23,587.81
211,20,0,0.6802,583.14,239.25,604.84,284.32
211,21,0,0.6883,616.21,214.95,638.25,256.11
211,22,0,0.6908,524.23,157.69,541.39,190.67
212,1,0,0.7991,914.1,457.9,945.11,539.1
212,2,0,0.726,319.33,280.94,347.92,337.87
212,3,0,0.8017,577.24,365.66,611.8,432.03
212,4,0,0.8175,1145.45,296.83,1176.19,360.63
212,5,0,0.7706,460.19,361.37,498.19,421.46
212,6,0,0.7831,642.21,328.43,668.65,392.4
212,7,0,0.8098,730.32,298.12,758.46,357.12
212,8,0,0.7743,945.01,284.61,978.19,336.2
212,9,0,0.7823,896.22,247.8,926.68,300.72
212,10,0,0.7948,531.33,288.99,554.78,345.48
212,11,0,0.745,147.8,379.42,181.27,449.06
212,12,0,0.7436,565.53,302.35,587.83,359.09
212,13,0,0.7488,490.99,218.27,511.54,263.27
212,14,0,0.737,741.61,180.89,761.29,221.88
212,15,0,0.758,359.03,239.66,381.3,292.26
212,16,0,0.6506,502.67,171.73,518.4,214.03
212,17,0,0.7216,455.22,257.02,477.51,308.85
212,18,0,0.6903,431.88,203.15,453.13,242.96
212,19,0,0.6241,1.14,502.77,32.14,587.35
212,20,0,0.7359,585.6,240.07,605.28,284.35
212,21,0,0.7232,618.04,214.05,639.33,255.29
212,22,0,0.7035,526.02,157.37,543.49,190.41
213,1,0,0.8018,918.04,457.0,950.17,539.39
213,2,0,0.7645,320.95,281.38,350.35,337.51
213,3,0,0.8071,576.99,366.87,611.45,432.01
213,4,0,0.797,1146.6,297.1,1177.4,359.72
213,5,0,0.7621,459.84,360.71,494.97,420.45
213,6,0,0.7787,643.8,326.76,671.55,391.97
213,7,0,0.784,731.77,298.18,760.46,356.22
213,8,0,0.7809,943.51,283.77,978.02,335.96
213,9,0,0.784,893.11,247.64,925.2,300.73
213,10,0,0.7972,532.78,289.46,555.61,344.65
213,11,0,0.7603,149.1,378.86,182.03,448.09
213,12,0,0.7664,569.1,301.66,591.31,358.63
213,13,0,0.7447,492.34,218.18,512.15,264.01
