frame,track_id,class,confidence,x1,y1,x2,y2
1,1,0,0.8427,1244.85,696.28,1303.13,832.75
1,2,0,0.8163,391.82,512.89,459.56,593.44
1,3,0,0.8118,1232.13,463.98,1284.42,555.4
1,4,0,0.8056,654.1,373.04,690.33,451.53
1,5,0,0.8048,1403.28,384.98,1457.41,458.62
1,6,0,0.8039,573.01,454.32,617.09,547.83
1,7,0,0.8037,390.24,758.1,505.55,892.59
1,8,0,0.8019,587.09,614.84,669.73,718.35
1,9,0,0.8016,468.14,382.71,510.01,453.22
1,10,0,0.8003,1495.24,516.31,1553.77,624.28
1,11,0,0.784,458.68,535.05,530.12,612.81
1,12,0,0.7801,1223.95,343.31,1271.95,421.38
1,13,0,0.7585,1284.21,239.98,1316.38,281.96
1,14,0,0.7545,1330.13,422.89,1385.67,507.24
1,15,0,0.7517,1131.99,172.35,1149.92,212.5
1,16,0,0.7502,520.76,580.62,590.32,688.67
1,17,0,0.6969,17.3,285.59,46.08,351.38
2,1,0,0.8342,1240.93,693.93,1299.66,831.68
2,2,0,0.8087,380.92,512.4,453.36,592.87
2,3,0,0.8051,1222.93,464.36,1279.54,555.52
2,4,0,0.8079,653.49,373.46,692.37,449.12
2,5,0,0.8205,1395.59,382.58,1454.1,456.75
2,6,0,0.8174,568.44,456.66,613.55,549.47
2,7,0,0.8028,383.15,756.23,496.35,890.64
2,8,0,0.8103,584.79,612.94,659.62,713.83
2,9,0,0.7983,462.39,382.97,504.2,454.76
2,10,0,0.7574,1485.87,514.09,1539.39,623.49
2,11,0,0.7466,459.8,537.48,523.04,611.6
2,12,0,0.8104,1214.06,342.96,1266.24,419.91
2,13,0,0.7629,1280.01,238.89,1310.68,280.77
2,14,0,0.7605,1318.08,420.54,1372.81,506.55
2,15,0,0.7343,1127.16,170.97,1145.37,211.8
2,16,0,0.7566,509.19,577.51,578.28,685.88
2,17,0,0.6864,11.38,283.09,41.42,350.08
3,1,0,0.8258,1238.81,693.18,1296.65,830.98
3,2,0,0.8108,371.29,511.25,445.75,592.38
3,3,0,0.8182,1215.84,466.51,1276.16,556.23
3,4,0,0.8122,654.13,373.86,697.36,449.4
3,5,0,0.8312,1387.16,381.29,1450.71,455.2
3,6,0,0.8084,563.8,458.16,609.83,550.27
3,7,0,0.8029,379.75,755.48,487.1,889.42
3,8,0,0.8005,580.72,609.21,652.59,710.34
3,9,0,0.8103,456.54,384.54,499.59,455.11
3,10,0,0.7454,1476.31,512.55,1527.22,623.06
3,11,0,0.6834,463.52,539.16,525.97,612.46
3,12,0,0.825,1209.51,341.46,1259.49,418.39
3,13,0,0.7674,1273.25,237.95,1306.97,279.87
3,14,0,0.7977,1306.05,418.41,1361.29,504.68
3,15,0,0.714,1122.94,170.04,1140.95,210.75
3,16,0,0.7544,502.06,575.18,565.88,683.99
3,17,0,0.6981,7.14,282.69,38.06,349.35
4,1,0,0.822,1237.26,692.24,1294.64,830.55
4,2,0,0.8222,364.07,509.66,435.9,591.91
4,3,0,0.819,1211.02,467.79,1275.22,555.87
4,4,0,0.826,656.19,375.03,702.83,448.69
4,5,0,0.8182,1381.65,379.12,1447.59,454.68
4,6,0,0.7834,561.64,459.7,607.72,549.36
4,7,0,0.8025,380.68,756.62,477.65,888.62
4,8,0,0.7928,573.61,606.48,646.81,710.25
4,9,0,0.8073,453.18,385.47,497.23,454.85
4,10,0,0.7642,1466.73,510.62,1513.78,622.52
4,11,0,0.6781,468.98,540.11,533.17,611.9
4,12,0,0.8191,1203.81,340.27,1254.51,417.63
4,13,0,0.7914,1268.06,236.77,1303.85,279.03
4,14,0,0.8207,1293.13,416.74,1354.91,504.75
4,15,0,0.729,1121.56,169.79,1139.81,210.34
4,16,0,0.7392,491.31,573.78,551.63,682.56
4,17,0,0.7304,5.63,281.51,38.89,348.63
5,1,0,0.8202,1236.93,692.18,1294.02,830.46
5,2,0,0.8375,356.98,508.28,425.22,591.76
5,3,0,0.8163,1207.13,466.56,1274.57,555.25
5,4,0,0.8288,659.37,375.72,707.91,448.87
5,5,0,0.7985,1376.14,378.47,1443.87,454.03
5,6,0,0.7728,561.53,460.79,608.29,549.55
5,7,0,0.7962,381.68,756.91,473.32,888.07
5,8,0,0.781,566.51,603.41,643.75,709.76
5,9,0,0.8023,451.2,385.93,496.67,454.93
5,10,0,0.801,1457.79,509.58,1505.55,622.32
5,11,0,0.6679,472.74,539.52,531.96,613.7
5,12,0,0.8147,1202.02,339.67,1251.17,416.67
5,13,0,0.7682,1263.13,237.65,1299.99,278.36
5,14,0,0.7982,1279.83,416.23,1346.18,503.68
5,15,0,0.7185,1121.82,170.14,1140.06,210.27
5,16,0,0.7599,487.63,572.02,537.32,678.67
5,17,0,0.7396,5.8,281.5,39.27,348.14
6,1,0,0.8112,1237.56,692.13,1294.26,830.44
6,2,0,0.8292,352.47,507.62,416.65,591.21
6,3,0,0.8236,1204.08,466.1,1274.29,554.38
6,4,0,0.7988,663.19,376.63,710.9,448.5
6,5,0,0.7893,1370.42,379.53,1440.62,453.33
6,6,0,0.7955,561.27,461.25,608.49,550.03
6,7,0,0.815,381.89,756.14,469.26,888.36
6,8,0,0.787,561.68,599.78,640.37,708.3
6,9,0,0.8033,450.89,386.48,497.71,455.01
6,10,0,0.8288,1448.05,508.7,1500.46,621.8
6,11,0,0.6633,473.97,537.47,531.38,617.14
6,12,0,0.817,1201.85,340.26,1249.11,417.02
6,13,0,0.7643,1259.16,237.26,1294.56,276.67
6,14,0,0.803,1271.68,415.0,1338.09,503.05
6,15,0,0.7336,1122.86,169.93,1140.7,210.67
6,16,0,0.7741,482.07,571.3,531.49,675.96
6,17,0,0.7568,7.31,281.76,40.36,348.25
7,1,0,0.8107,1237.9,691.69,1294.37,830.36
7,2,0,0.8418,350.49,507.43,411.0,591.52
7,3,0,0.8208,1201.57,465.03,1271.66,553.19
7,4,0,0.7885,668.92,377.6,714.22,447.45
7,5,0,0.8066,1367.13,379.52,1430.7,454.06
7,6,0,0.8036,561.2,459.03,608.91,549.34
