frame,track_id,class,confidence,x1,y1,x2,y2
1,1,0,0.75,1003.41,782.57,1029.56,829.97
1,2,0,0.7348,501.72,786.95,523.48,835.63
1,3,0,0.7341,566.45,757.73,588.85,805.41
1,4,0,0.7326,911.33,492.16,930.69,529.0
1,5,0,0.7304,1292.04,681.41,1317.52,727.24
1,6,0,0.7261,843.66,705.22,872.43,746.92
1,7,0,0.7243,326.69,740.29,350.69,788.3
1,8,0,0.7097,919.43,658.16,947.79,699.47
1,9,0,0.7018,1008.74,658.11,1029.58,703.12
1,10,0,0.6763,1234.88,551.51,1254.35,590.79
1,11,0,0.6589,1433.67,607.29,1457.03,650.06
1,12,0,0.6462,524.36,681.39,550.96,725.35
1,13,0,0.6201,729.68,322.76,743.63,354.22
1,14,0,0.5967,918.49,610.59,939.27,648.07
1,15,0,0.5854,566.35,669.25,588.33,714.03
1,16,0,0.557,714.64,591.94,734.12,630.68
1,17,0,0.5169,892.88,614.94,914.56,653.0
1,18,0,0.5016,509.68,554.76,536.89,612.6
1,19,0,0.4894,1115.76,468.82,1135.9,506.76
1,20,0,0.4696,729.73,478.16,748.48,514.7
2,1,0,0.7493,1003.42,782.59,1029.61,829.97
2,2,0,0.7352,501.71,786.97,523.53,835.62
2,3,0,0.7341,566.44,757.71,588.83,805.41
2,4,0,0.7325,911.31,492.1,930.69,529.02
2,5,0,0.7309,1292.06,681.39,1317.56,727.27
2,6,0,0.7271,843.65,705.21,872.48,746.91
2,7,0,0.7236,326.71,740.26,350.68,788.32
2,8,0,0.7095,919.43,658.16,947.79,699.49
2,9,0,0.701,1008.47,658.04,1029.57,703.1
2,10,0,0.6755,1234.86,551.51,1254.38,590.84
2,11,0,0.6599,1433.69,607.26,1457.03,650.01
2,12,0,0.6457,524.37,681.39,550.91,725.36
2,13,0,0.6269,729.65,322.72,743.63,354.25
2,14,0,0.6014,918.49,610.56,939.29,648.09
2,15,0,0.584,566.35,669.25,588.33,714.05
2,16,0,0.5496,714.64,591.97,734.13,630.7
2,17,0,0.5229,892.87,614.9,914.57,653.01
