track_id,first_frame,last_frame,detected_frames,mean_confidence,max_confidence,mean_box_width,mean_box_height,max_area_pct,span_frames,continuity,duration_seconds
1,1,266,266,0.788818045112782,0.856,42.41639097744361,81.19766917293232,0.4856983723958333,266,1.0,8.88
2,1,386,381,0.7881325459317585,0.8416,40.86020997375328,98.78748031496063,0.7175809570312499,386,0.987,12.71
3,1,302,300,0.7693813333333334,0.8258,42.954766666666664,93.20596666666667,0.6276056423611123,302,0.9934,10.01
4,1,244,244,0.779794262295082,0.8281,44.44209016393443,108.46290983606558,0.647840809461806,244,1.0,8.14
5,1,261,261,0.7724973180076629,0.8349,35.46153256704981,93.07858237547893,0.46928759765625,261,1.0,8.71
6,1,266,227,0.6418488986784141,0.8018,33.78436123348018,70.60537444933921,0.45981814236111157,266,0.8534,7.57
7,1,264,264,0.7253416666666667,0.8375,28.293977272727275,73.4034090909091,0.35361805555555575,264,1.0,8.81
8,1,246,246,0.7627028455284552,0.843,29.006869918699188,85.59768292682926,0.381187272135417,246,1.0,8.21
9,1,386,378,0.7174550264550263,0.8623,32.9139417989418,72.44542328042328,0.4418229166666665,386,0.9793,12.61
10,1,129,129,0.7363627906976744,0.827,28.79883720930232,63.83403100775194,0.24817303602430596,129,1.0,4.3
11,1,292,286,0.7353832167832168,0.8462,31.57818181818182,68.1633916083916,0.42143856336805546,292,0.9795,9.54
12,1,88,88,0.7009943181818182,0.8118,32.128409090909095,65.0325,0.3864683593750002,88,1.0,2.94
13,1,280,260,0.6581403846153846,0.8105,34.22423076923077,71.40738461538463,0.4023356119791667,280,0.9286,8.68
14,1,175,175,0.6330525714285714,0.7413,25.210914285714285,52.667942857142855,0.22235481770833324,175,1.0,5.84
16,19,19,1,0.3706,0.3706,19.120000000000005,50.25,0.10425130208333334,1,1.0,0.03
20,32,386,348,0.7544698275862068,0.8419,38.49045977011494,92.67201149425287,0.6221911349826378,355,0.9803,11.61
24,55,246,155,0.637696129032258,0.7796,31.58412903225806,59.93593548387096,0.35894971788194474,192,0.8073,5.17
32,84,86,3,0.3878333333333333,0.3989,9.023333333333332,12.073333333333323,0.012093402777777769,3,1.0,0.1
34,86,386,293,0.6987085324232082,0.842,32.478805460750856,69.95648464163823,0.41691493055555534,301,0.9734,9.78
