frame,track_id,class,confidence,x1,y1,x2,y2
1,1,0,0.8247,707.77,330.76,749.58,427.77
1,2,0,0.8146,716.2,428.14,755.06,527.9
1,3,0,0.8123,1024.3,372.37,1061.53,473.34
1,4,0,0.8094,139.83,472.43,177.09,583.56
1,5,0,0.8026,379.67,357.99,416.92,454.51
1,6,0,0.7999,1193.6,251.52,1244.29,335.12
1,7,0,0.79,436.1,226.05,462.48,295.58
1,8,0,0.7801,435.83,295.42,461.54,382.78
1,9,0,0.7646,882.22,236.63,911.76,315.8
1,10,0,0.7638,811.64,211.24,842.83,284.57
1,11,0,0.7365,632.18,217.18,658.1,284.18
1,12,0,0.7161,903.71,203.49,928.74,271.87
1,13,0,0.6996,1233.23,248.58,1268.99,335.48
1,14,0,0.6037,185.46,215.57,208.02,270.4
2,1,0,0.8184,706.37,330.35,747.35,426.87
2,2,0,0.8219,715.24,427.42,754.27,527.98
2,3,0,0.8155,1023.22,372.06,1062.47,473.18
2,4,0,0.8013,139.1,472.1,175.63,583.2
2,5,0,0.7979,378.34,357.81,416.15,454.15
2,6,0,0.7769,1190.39,250.85,1240.75,333.42
2,7,0,0.8015,434.16,226.04,460.5,297.7
2,8,0,0.78,433.4,295.38,459.51,382.86
2,9,0,0.7656,880.3,236.84,908.45,315.88
2,10,0,0.773,811.18,211.41,840.15,284.17
2,11,0,0.7149,629.92,215.87,654.62,285.3
2,12,0,0.6989,901.21,203.18,925.77,271.95
2,13,0,0.7316,1229.54,248.52,1267.8,334.77
2,14,0,0.5945,183.14,216.5,205.1,270.44
3,1,0,0.8271,704.64,329.55,743.72,423.38
3,2,0,0.824,713.39,427.2,751.95,527.27
3,3,0,0.8166,1021.39,371.35,1062.2,472.72
3,4,0,0.7859,138.07,471.89,176.21,582.52
3,5,0,0.8019,376.99,357.77,414.13,453.41
3,6,0,0.7502,1187.81,249.37,1236.64,332.64
3,7,0,0.7883,432.47,225.61,458.05,296.99
3,8,0,0.7577,432.08,295.26,456.74,382.61
3,9,0,0.7639,877.22,236.39,905.38,315.43
