frame,track_id,class,confidence,x1,y1,x2,y2
1,1,0,0.8542,1378.56,529.1,1447.56,659.14
1,2,0,0.851,1040.27,705.14,1139.43,868.21
1,3,0,0.8384,1275.3,688.34,1346.84,847.45
1,4,0,0.834,1288.89,417.32,1341.62,506.38
1,5,0,0.831,1094.56,424.67,1140.59,525.42
1,6,0,0.8195,1601.68,366.55,1643.54,447.71
1,7,0,0.8027,1272.32,292.14,1308.41,357.49
1,8,0,0.8026,1646.28,401.6,1682.55,490.18
1,9,0,0.7986,1484.99,524.83,1529.65,653.75
1,10,0,0.792,319.91,514.0,374.56,631.71
1,11,0,0.7905,164.49,413.68,223.88,522.0
1,12,0,0.7896,25.23,687.42,106.15,833.25
1,13,0,0.7686,977.51,253.06,1004.61,307.3
1,14,0,0.7675,687.3,615.96,744.45,761.52
1,15,0,0.7357,583.75,315.65,615.6,387.97
1,16,0,0.7344,683.17,820.13,705.2,841.02
1,17,0,0.7244,109.77,346.42,150.27,432.47
1,18,0,0.6701,266.97,218.34,291.63,265.31
1,19,0,0.6086,1119.88,364.92,1154.96,444.82
1,20,0,0.53,1112.17,366.37,1148.31,446.87
2,1,0,0.8557,1384.11,529.16,1449.91,657.3
2,2,0,0.8428,1044.54,705.42,1143.73,866.73
2,3,0,0.8592,1282.92,687.28,1354.28,845.2
2,4,0,0.8323,1294.76,417.63,1347.12,505.93
2,5,0,0.8038,1102.83,424.06,1148.62,525.59
2,6,0,0.8118,1604.37,366.39,1647.58,448.03
2,7,0,0.8017,1276.84,292.7,1310.81,356.91
2,8,0,0.7995,1649.21,401.18,1686.26,489.98
2,9,0,0.8157,1489.17,524.52,1535.24,652.88
2,10,0,0.776,326.13,513.43,377.65,630.83
2,11,0,0.7925,175.31,414.14,227.31,520.82
2,12,0,0.7889,34.7,687.18,112.49,836.78
2,13,0,0.7773,982.01,251.9,1008.23,306.69
2,14,0,0.7695,695.03,613.9,756.56,759.57
2,15,0,0.7287,586.75,316.23,617.23,387.75
2,16,0,0.7227,680.26,820.13,701.05,840.39
2,17,0,0.7519,112.89,346.08,153.79,431.81
2,18,0,0.7094,269.4,217.41,295.07,267.27
2,19,0,0.6591,1122.38,368.04,1158.45,447.78
2,20,0,0.6328,1129.92,364.95,1162.52,443.88
3,1,0,0.8453,1393.23,527.84,1451.19,653.82
3,2,0,0.8424,1047.94,705.11,1147.44,865.65
3,3,0,0.8586,1289.78,686.13,1360.37,844.89
3,4,0,0.8364,1299.95,417.56,1352.89,505.5
3,5,0,0.7961,1109.62,421.81,1153.8,526.0
3,6,0,0.8131,1607.6,366.43,1650.8,447.56
3,7,0,0.7932,1280.51,292.99,1313.86,357.29
3,8,0,0.7998,1652.62,400.02,1689.98,490.1
3,9,0,0.8261,1491.82,524.67,1540.16,652.32
3,10,0,0.7633,334.61,512.97,382.62,630.32
3,11,0,0.784,184.9,411.81,235.67,520.58
3,12,0,0.8213,44.94,686.26,124.34,838.04
3,13,0,0.7512,987.53,250.48,1011.68,306.82
3,14,0,0.7942,702.12,612.37,767.44,758.58
3,15,0,0.7052,589.86,315.64,622.18,387.03
3,16,0,0.6885,675.49,819.8,696.79,840.11
3,17,0,0.7729,116.63,345.3,158.0,432.19
3,18,0,0.7112,271.85,218.05,298.37,266.38
3,20,0,0.761,1132.47,363.74,1168.41,445.15
4,1,0,0.8557,1400.42,527.02,1452.63,650.83
4,2,0,0.8741,1051.0,704.72,1152.65,864.61
4,3,0,0.8463,1296.87,686.24,1368.79,844.09
4,4,0,0.8492,1305.71,416.69,1356.45,505.09
4,5,0,0.8035,1115.23,420.76,1161.89,525.37
4,6,0,0.8145,1611.34,366.66,1653.2,447.39
4,7,0,0.7999,1283.46,292.9,1316.64,357.19
4,8,0,0.7895,1655.65,399.83,1693.17,490.37
4,9,0,0.8422,1495.88,524.34,1546.81,651.67
4,10,0,0.7492,341.09,513.58,385.62,629.11
4,11,0,0.771,193.68,411.25,242.54,519.58
4,12,0,0.8224,53.98,686.82,136.34,839.18
4,13,0,0.7576,991.83,250.81,1014.81,307.11
4,14,0,0.8043,708.8,610.89,780.02,758.24
4,15,0,0.7155,593.04,315.76,625.68,386.38
4,16,0,0.6795,670.92,819.6,691.52,840.07
4,17,0,0.7724,122.67,346.49,163.33,432.28
4,18,0,0.6625,276.91,218.06,302.69,267.11
4,20,0,0.765,1137.84,362.14,1176.99,445.2
5,1,0,0.8343,1407.29,525.84,1455.26,650.49
5,2,0,0.8625,1054.73,703.84,1157.02,864.2
5,3,0,0.8702,1306.69,687.0,1376.39,842.42
5,4,0,0.8473,1308.92,415.5,1358.78,506.3
5,5,0,0.7508,1120.12,420.11,1165.46,524.84
5,6,0,0.8193,1613.62,366.4,1657.04,447.14
5,7,0,0.8052,1287.19,293.11,1319.89,357.24
5,8,0,0.8102,1658.83,399.9,1696.68,489.45
5,9,0,0.8528,1498.84,524.4,1552.46,651.22
5,10,0,0.7272,346.81,513.64,391.68,629.16
5,11,0,0.7753,200.81,410.75,251.17,519.88
5,12,0,0.8236,65.46,687.49,148.72,841.83
5,13,0,0.7424,995.56,250.64,1018.22,307.45
5,14,0,0.8226,714.1,609.92,791.44,756.83
5,15,0,0.714,596.61,316.13,628.88,386.75
5,16,0,0.6811,665.94,819.48,686.48,840.07
5,17,0,0.7718,127.94,346.64,169.31,431.68
5,18,0,0.7181,280.81,217.6,307.88,266.22
5,20,0,0.7844,1141.57,361.0,1184.67,445.7
6,1,0,0.8368,1412.4,524.28,1458.45,650.01
6,2,0,0.8623,1057.33,702.73,1160.01,863.17
6,3,0,0.8634,1317.21,688.42,1383.97,840.53
6,4,0,0.8394,1314.41,414.79,1360.34,506.06
6,5,0,0.7345,1124.07,419.09,1165.77,525.72
6,6,0,0.8115,1616.79,366.16,1659.89,446.95
6,7,0,0.8043,1291.26,292.62,1322.81,357.37
6,8,0,0.8146,1660.45,399.74,1699.52,489.57
6,9,0,0.8539,1501.71,524.25,1556.11,649.63
6,10,0,0.7845,352.22,514.45,397.69,629.52
6,11,0,0.7742,207.42,410.52,258.92,520.07
6,12,0,0.8241,77.3,690.64,157.98,843.58
6,13,0,0.7671,998.91,250.0,1022.32,307.35
6,14,0,0.8184,718.89,610.3,797.76,757.69
6,15,0,0.7049,599.99,316.11,631.64,387.37
6,16,0,0.7054,660.01,818.27,681.92,840.02
6,17,0,0.744,132.52,347.23,174.27,431.26
6,18,0,0.7356,284.47,218.54,311.59,265.8
6,20,0,0.7757,1147.85,360.14,1191.61,445.14
7,1,0,0.8335,1417.83,524.52,1460.93,649.46
7,2,0,0.8712,1060.61,701.33,1164.05,862.34
7,3,0,0.8471,1328.83,688.72,1390.75,839.28
7,4,0,0.8389,1319.28,414.11,1362.26,506.08
7,5,0,0.751,1127.41,416.22,1180.08,526.3
7,6,0,0.8168,1618.8,365.94,1663.39,446.92
7,7,0,0.7938,1295.24,292.78,1325.83,357.51
7,8,0,0.8093,1663.06,399.71,1702.73,489.46
7,9,0,0.8631,1505.26,523.66,1560.44,648.22
7,10,0,0.7938,356.7,515.46,404.31,630.88
7,11,0,0.7857,213.48,411.27,268.17,519.64
7,12,0,0.794,93.05,692.73,168.75,843.92
7,13,0,0.7679,1002.28,250.41,1025.32,307.28
7,14,0,0.8191,723.74,610.12,802.35,758.86
7,15,0,0.715,602.95,316.14,635.03,387.22
7,16,0,0.7057,656.2,818.58,677.41,840.08
7,17,0,0.7491,136.67,347.83,177.39,431.53
7,18,0,0.724,288.72,218.3,314.84,266.03
7,20,0,0.7751,1152.89,359.85,1196.4,444.76
8,1,0,0.8329,1421.71,524.22,1465.33,648.99
8,2,0,0.8665,1063.58,700.64,1166.28,860.16
8,3,0,0.8495,1340.97,688.1,1397.24,837.92
8,4,0,0.8261,1324.07,414.6,1362.75,505.52
8,5,0,0.7578,1130.78,415.99,1178.71,527.58
8,6,0,0.8224,1623.32,366.05,1664.85,446.95
8,7,0,0.7712,1301.51,292.11,1329.14,357.92
8,8,0,0.8024,1665.67,400.1,1704.3,488.57
8,9,0,0.8692,1509.16,522.5,1564.06,646.74
8,10,0,0.7866,361.1,516.79,408.7,630.74
8,11,0,0.8016,220.62,412.66,277.14,519.03
8,12,0,0.7587,103.08,692.91,182.85,844.25
8,13,0,0.7791,1004.69,250.42,1028.28,306.96
8,14,0,0.8327,732.03,609.12,806.51,756.93
8,15,0,0.7309,606.49,316.55,637.41,387.18
8,16,0,0.6619,650.72,818.43,671.86,840.07
8,17,0,0.7438,140.94,348.18,179.9,432.01
8,18,0,0.731,292.91,218.75,318.38,265.87
8,20,0,0.7869,1164.44,361.12,1201.95,444.65
8,19,0,0.7536,1149.31,360.86,1183.4,442.23
9,1,0,0.8408,1425.14,523.4,1471.93,648.44
9,2,0,0.8563,1066.49,698.91,1169.4,857.72
9,3,0,0.8419,1350.2,687.4,1403.94,837.22
9,4,0,0.8259,1327.73,413.97,1366.53,505.28
9,5,0,0.7379,1134.48,415.77,1187.01,527.98
9,6,0,0.818,1627.63,366.25,1667.45,446.98
9,7,0,0.7439,1307.51,292.08,1332.79,358.09
9,8,0,0.8015,1667.25,399.46,1706.77,487.72
9,9,0,0.8579,1512.66,521.15,1568.85,646.76
9,10,0,0.7796,365.11,517.31,412.93,632.0
9,11,0,0.7916,226.51,413.44,284.83,518.11
9,12,0,0.7683,115.97,692.58,197.3,843.55
9,13,0,0.7956,1007.32,250.52,1032.2,306.83
9,14,0,0.8089,739.96,607.4,811.93,754.84
9,15,0,0.7505,609.93,316.48,640.32,387.67
9,16,0,0.6574,645.67,816.73,666.77,838.44
9,17,0,0.7512,144.71,348.44,184.64,433.47
9,18,0,0.7239,296.24,218.36,321.68,265.32
9,20,0,0.7469,1169.84,362.61,1207.13,445.26
9,19,0,0.7262,1151.14,360.08,1187.26,439.03
10,1,0,0.8499,1427.54,522.88,1477.64,649.51
10,2,0,0.853,1071.11,697.62,1173.64,855.32
10,3,0,0.8471,1356.2,684.84,1411.11,836.17
10,4,0,0.8448,1330.64,414.06,1372.78,505.85
10,5,0,0.7526,1136.73,414.17,1186.6,528.44
10,6,0,0.7999,1631.45,365.97,1670.69,446.91
10,7,0,0.7732,1312.57,291.53,1338.43,358.16
10,8,0,0.7997,1670.74,398.92,1710.11,487.32
10,9,0,0.85,1517.42,519.86,1572.54,647.25
10,10,0,0.7661,368.56,518.13,416.55,633.75
10,11,0,0.7986,230.96,413.84,292.74,518.76
10,12,0,0.7785,129.23,690.42,209.3,844.2
10,13,0,0.7876,1010.13,249.63,1037.01,306.26
10,14,0,0.8076,751.71,605.7,816.72,751.99
10,15,0,0.7195,613.11,315.42,643.8,388.0
10,16,0,0.6658,641.9,817.59,662.33,839.39
10,17,0,0.7816,149.01,347.83,189.0,434.14
10,18,0,0.6855,300.5,218.13,326.12,265.79
10,20,0,0.7514,1174.65,362.35,1212.98,446.44
10,19,0,0.6929,1153.91,360.07,1190.52,440.41
11,1,0,0.8382,1431.23,523.36,1482.68,648.75
11,2,0,0.8776,1074.78,695.43,1178.13,853.08
11,3,0,0.8757,1361.36,682.74,1424.29,834.8
11,4,0,0.8594,1333.29,414.62,1376.59,506.87
11,5,0,0.7712,1138.54,413.77,1191.41,528.94
11,6,0,0.7977,1634.28,366.27,1673.9,446.15
11,7,0,0.7937,1316.01,291.97,1343.39,358.41
11,8,0,0.8045,1674.32,399.15,1712.57,487.59
11,9,0,0.8445,1523.07,518.97,1576.55,646.07
11,10,0,0.7702,372.05,518.11,420.17,634.67
11,11,0,0.8073,235.32,413.85,300.15,518.77
11,12,0,0.8392,138.7,687.89,222.49,843.52
11,13,0,0.7788,1013.49,250.93,1040.96,306.79
11,14,0,0.8142,761.46,603.98,820.99,750.26
11,15,0,0.7272,616.33,315.07,646.96,387.54
11,16,0,0.7241,636.39,816.41,657.59,838.56
11,17,0,0.7642,153.7,347.65,194.04,434.09
11,18,0,0.6883,305.08,218.72,330.9,264.99
11,20,0,0.766,1180.85,362.85,1216.76,446.13
11,19,0,0.6772,1160.42,360.67,1196.47,440.43
12,1,0,0.8448,1434.23,523.57,1487.95,648.33
12,2,0,0.8649,1080.39,694.31,1180.9,850.97
12,3,0,0.8647,1365.17,681.8,1435.78,833.42
12,4,0,0.8613,1336.08,414.94,1378.84,506.39
12,5,0,0.7297,1140.8,415.8,1183.97,529.15
12,6,0,0.8056,1637.05,366.27,1676.41,446.22
12,7,0,0.7988,1319.18,293.68,1349.96,358.78
12,8,0,0.7982,1677.17,399.09,1715.08,487.47
12,9,0,0.8367,1529.74,518.76,1580.48,644.22
12,10,0,0.7816,375.4,517.63,424.42,635.18
12,11,0,0.7995,241.58,413.62,303.61,519.38
12,12,0,0.8346,147.63,686.94,235.46,843.55
12,13,0,0.7792,1016.15,251.81,1043.85,307.46
12,14,0,0.8225,769.26,602.62,826.1,748.46
12,15,0,0.7527,620.67,315.43,650.75,387.89
12,16,0,0.7279,632.47,815.99,653.98,837.48
12,17,0,0.7649,158.35,347.81,198.24,434.06
12,18,0,0.7093,308.79,218.46,334.81,264.34
12,20,0,0.7691,1186.42,360.9,1223.36,445.97
12,19,0,0.7026,1164.91,360.55,1201.09,442.57
13,1,0,0.848,1437.69,522.87,1491.08,647.86
13,2,0,0.8613,1086.61,693.12,1183.35,849.14
13,3,0,0.8768,1369.34,682.04,1445.32,832.68
13,4,0,0.8435,1338.79,415.08,1381.31,506.8
13,5,0,0.74,1142.76,416.56,1181.79,529.04
13,6,0,0.7944,1642.94,366.3,1679.21,445.9
13,7,0,0.8113,1322.24,294.94,1354.98,359.13
13,8,0,0.7785,1679.77,398.63,1717.02,487.62
13,9,0,0.829,1536.83,518.11,1583.99,643.37
13,10,0,0.7985,379.82,518.2,427.73,635.08
13,11,0,0.7949,248.09,413.56,311.17,518.75
13,12,0,0.8552,155.7,686.9,251.02,844.14
13,13,0,0.779,1019.21,252.36,1046.74,307.31
13,14,0,0.823,774.91,601.58,831.76,748.09
13,15,0,0.7518,624.48,315.27,654.37,388.17
13,16,0,0.6978,627.8,815.9,649.47,837.59
13,17,0,0.7922,161.0,347.86,201.5,434.13
13,18,0,0.735,312.36,218.03,337.4,263.04
13,20,0,0.7783,1190.82,358.54,1229.89,445.27
13,19,0,0.7509,1168.98,360.53,1203.3,442.25
14,1,0,0.8349,1440.91,522.13,1493.93,647.67
14,2,0,0.8702,1090.36,692.28,1185.5,847.89
14,3,0,0.8763,1373.82,682.46,1450.5,832.49
14,4,0,0.8312,1342.01,415.58,1383.5,507.03
14,5,0,0.7144,1145.39,415.84,1183.47,529.19
14,6,0,0.8033,1645.9,366.12,1681.69,445.71
14,7,0,0.8142,1324.78,294.83,1359.21,359.48
14,8,0,0.7888,1683.49,398.1,1719.92,487.28
14,9,0,0.8241,1541.39,518.73,1587.97,643.43
14,10,0,0.7963,383.17,518.37,430.21,634.95
14,11,0,0.7965,257.94,412.92,316.96,518.41
14,12,0,0.8411,164.95,688.18,262.02,845.57
14,13,0,0.7754,1021.68,252.41,1049.55,307.29
14,14,0,0.8248,778.56,600.79,839.31,748.48
14,15,0,0.7347,628.08,315.51,658.7,388.22
14,16,0,0.7004,623.03,815.84,644.01,837.52
14,17,0,0.7845,164.57,347.16,204.11,433.38
14,18,0,0.7251,315.48,219.23,340.36,264.22
14,20,0,0.7808,1196.24,357.19,1234.36,443.78
14,19,0,0.7922,1172.27,360.42,1207.32,442.64
15,1,0,0.8368,1445.73,521.25,1497.9,646.15
15,2,0,0.8739,1093.09,691.4,1188.23,847.93
15,3,0,0.8762,1378.99,683.42,1454.24,831.17
15,4,0,0.8344,1344.42,415.92,1386.09,507.29
15,5,0,0.7248,1147.29,415.8,1189.76,529.24
15,6,0,0.8095,1648.86,365.93,1685.23,445.81
15,7,0,0.8136,1328.03,295.43,1361.53,360.05
15,8,0,0.7937,1686.42,397.81,1722.44,485.99
15,9,0,0.8525,1545.08,518.92,1592.77,642.63
15,10,0,0.7892,385.93,518.65,432.56,635.24
15,11,0,0.8009,265.34,412.0,320.25,518.49
15,12,0,0.8369,175.88,690.23,271.53,847.39
15,13,0,0.7941,1024.79,251.68,1052.14,307.36
15,14,0,0.8244,781.5,601.05,848.88,747.71
15,15,0,0.7496,631.61,315.86,662.42,387.74
15,16,0,0.75,618.52,815.81,638.66,837.06
15,17,0,0.7819,168.53,347.36,207.89,433.43
15,18,0,0.7247,318.91,218.93,343.75,265.62
15,20,0,0.7697,1201.13,356.52,1238.04,443.61
15,19,0,0.7913,1175.8,360.37,1209.04,441.38
16,1,0,0.8494,1451.81,519.81,1502.01,644.43
16,2,0,0.8727,1095.51,690.79,1189.28,847.73
16,3,0,0.8608,1385.93,682.84,1457.99,829.94
16,4,0,0.8293,1346.88,416.13,1388.66,506.77
16,5,0,0.7732,1151.4,415.99,1199.87,529.17
16,6,0,0.8103,1652.45,366.03,1688.23,446.06
16,7,0,0.8096,1330.4,295.41,1364.41,360.95
16,8,0,0.7933,1688.65,397.69,1724.51,485.88
16,9,0,0.8703,1547.62,518.9,1597.01,642.39
16,10,0,0.7876,388.26,518.99,435.2,636.37
16,11,0,0.7939,272.76,411.03,323.11,518.65
16,12,0,0.812,190.39,691.87,279.6,846.66
16,13,0,0.7899,1029.53,251.38,1054.29,307.3
16,14,0,0.8282,786.11,601.39,858.77,747.02
16,15,0,0.7426,634.15,315.66,666.78,388.48
16,16,0,0.5622,614.03,815.86,635.34,837.19
16,17,0,0.7901,172.34,347.95,211.76,434.75
16,18,0,0.7016,321.94,219.11,347.07,265.28
16,20,0,0.7875,1204.17,357.08,1244.68,442.41
16,19,0,0.7429,1179.51,360.47,1210.66,441.15
17,1,0,0.8519,1456.94,518.98,1505.57,643.08
17,2,0,0.8761,1097.96,690.29,1190.71,846.98
